"﻿""Compétition""";Phase;Date;Heure;Lieu;Rencontre;Arbitre principal;Juge de ligne;Arbitre;Superviseur;Arbitre principal 2;Juge de ligne 2;Arbitre 2
U20 Elite;Saison régulière;10/09/2023;18:45;Strasbourg - Iceberg;42003 - Strasbourg U20 élite / 23001S - 23001S ROUEN HOCKEY ELITE 76;M ROMMEVAUX Mikaël;M DEBUCHE Cyril;;;;M BERGAMELLI Viny;
U20 Elite;Saison régulière;10/09/2023;18:50;Clermont-Ferrand;E0123 - HCLR U20 / 52005 - U20 Eli Corsaires de Nantes;M GEORGE Yohan;M RANDRIANARIVO Dominique;;;;M FONTAINE Gildas;
U20 Elite;Saison régulière;10/09/2023;19:00;Grenoble - Polesud;82007S - U20 Bruleurs de Loups Grenoble / 25001 - Caen U20 Elite;M GRABIT Alexis;M BERGAMELLI Enzo;;;;M NEURAZ Steven;
U20 Elite;Saison régulière;10/09/2023;19:00;Cergy - Aren'Ice;11013 - CERGY-PONTOISE / 52007 - ANGERS U20 ELITE;M DOUCHY Jérémie;M BERNOUSSI Rayan;;M BOCQUET Didier;;M CADY Quentin;
Synerglace Ligue Magnus;Saison régulière;12/09/2023;20:00;Briançon - René Froger;93003S - Diables Rouges Briançon 93003 / E0082 - CHAMONIX SLM;M CREGUT Nicolas;M MARGRY Gwilherm;;;M HAUCHART Alexandre;M CREUX-BEAUGIRAUD Yohann;
Synerglace Ligue Magnus;Saison régulière;12/09/2023;20:15;Grenoble - Polesud;82007S - BRULEURS DE LOUPS MAGNUS SENIORS / 93008S - NICE SLM;M SCOLARI Benjamin;M CONSTANTINEAU Nicolas;;;M FURET Yann;M BIOT Thiefen;
Matchs amicaux D1;Matchs amicaux D1;12/09/2023;20:30;Morzine - Skoda Arena;82017 - HCMA D1 / 82018 - ROANNE D2;M ROMMEVAUX Mikaël;M TCHEKACHEV David;;;;M BAUDRY Florian;
Matchs amicaux D1;Matchs amicaux D1;12/09/2023;20:30;Caen La Mer;25001 - Caen Division 1 / 52005 - D1 Corsaires de Nantes;M METAIS Jérémy;M HONORE Romain;;;;M SALMON Charles Edouard;
Synerglace Ligue Magnus;Saison régulière;12/09/2023;20:30;Angers IceParc;52007S - 52007S LES DUCS D'ANGERS / 23001S - 23001S ROUEN HOCKEY ELITE 76;M ROHWEDDER Raphaël;M FAUVEL Johan;;;M GARBAY Laurent;M DOUCHY Jérémie;
Synerglace Ligue Magnus;Saison régulière;12/09/2023;20:30;Gap - Alp'Arena;93006S - RAPACES DE GAP / 11013S - LES JOKERS SLM;M BOURREAU Alexandre;M BRIOLAT Eric;;;M PEYRE Julien;M ZEDE Vincent;
Matchs amicaux D1;Matchs amicaux D1;14/09/2023;20:00;Tours - Patinoire du centre municipal des sports;24007 - LES REMPARTS DE TOURS Division 1 / 11019 - Comètes de Meudon D1;M AURAT Florian;M THIEBAULT Leevan;;;;M CADY Quentin;
Matchs amicaux D1;Matchs amicaux D1;14/09/2023;20:30;Patinoire André RAVIX;82022 - VILLARD DE LANS / 31004 - D2 Valenciennes;M BARCELO Joris;M FONTAINE Gildas;;;;M AUMERAS Benjamin;
Matchs amicaux D2;Matchs amicaux D2;15/09/2023;17:30;Blagnac Toulouse - Jacques Raynaud;73002 - TOULOUSE BLAGNAC / 91003 - Vipers D2;M POPA Adrian;M BRAUD Tao;;;;M HASPOT David;
Synerglace Ligue Magnus;Saison régulière;15/09/2023;20:00;Rouen - Île Lacroix;23001S - 23001S ROUEN HOCKEY ELITE 76 / 93019S - MARSEILLE HOCKEY CLUB;M BOURREAU Alexandre;M YSSEMBOURG Joffrey;;;M HAUCHART Alexandre;M DEBUCHE Cyril;
Matchs amicaux D1;Matchs amicaux D1;15/09/2023;20:00;Cholet - Glisséo;52002 - DOGS DE CHOLET / 53001 - Brest Division 1;M METAIS Jérémy;M THIEBAULT Leevan;;;;M TOCQUEVILLE Florian;
Synerglace Ligue Magnus;Saison régulière;15/09/2023;20:00;Nice - Jean Bouin;93008S - NICE SLM / 93006S - RAPACES DE GAP;M DEHAEN Pierre;Mme CHEYROUX Alexia;;;M PEYRE Julien;M GONCALVES Clément;
Matchs amicaux D1;Matchs amicaux D1;15/09/2023;20:00;Méribel - Parc Olympique Patinoire;82020 - HCMP Les Bouquetins D2 / 31004 - D2 Valenciennes;M GRABIT Alexis;M BERGAMELLI Viny;;;;M BIOT Thiefen;
Synerglace Ligue Magnus;Saison régulière;15/09/2023;20:05;Chamonix - Richard Bozon;E0082 - CHAMONIX SLM / 22001S - AMIENS HOCKEY ELITE;M GARBAY Laurent;M ZEDE Vincent;;;M ICARD Damien;M MARGRY Gwilherm;
Matchs amicaux D1;Matchs amicaux D1;15/09/2023;20:10;Le Palais Megève;E0066 - Mont-Blanc les Yetis / 82004S - Éléphants CHAMBERY D1;M PEURIERE Frédéric;M BAUDRY Florian;;;;Mme BONIFACE Anne-Sophie;
Matchs amicaux D3;Matchs amicaux D3;15/09/2023;20:15;Blagnac Toulouse - Jacques Raynaud;93016 - Les Castors d'Avignon / 74001 - BRIVE;;;M SALVADOR Alexandre;;;;M ELBAZE Nicolas
Synerglace Ligue Magnus;Saison régulière;15/09/2023;20:30;Cergy - Aren'Ice;11013S - LES JOKERS SLM / 72003S - Boxers de Bordeaux;M FURET Yann;M COLLIN Jérémie;;;M BARCELO Geoffrey;M UGOLINI Quentin;
Matchs amicaux D1;Matchs amicaux D1;15/09/2023;20:30;Strasbourg - Iceberg;42003S - 42003  ETOILE  NOIRE / 11111 - DELEMONT;M FROSSARD Philippe;M KIRSCHENBAUM Johan;;;;Mme TORRIBIO ROUSSELIN Sueva;
Synerglace Ligue Magnus;Saison régulière;15/09/2023;20:30;Angers IceParc;52007S - 52007S LES DUCS D'ANGERS / 93003S - Diables Rouges Briançon 93003;M RAULINE Jérémy;M LABOULAIS Maxime;;;M ERNECQ Adrien;M BARTHE Guillaume;
Synerglace Ligue Magnus;Saison régulière;15/09/2023;20:30;Anglet - La Barre;72001S - ANGLET HORMADI Ligue MAGNUS / 82007S - BRULEURS DE LOUPS MAGNUS SENIORS;M BARBEZ Nicolas;M DOUCHY Jérémie;;;M LEVASSEUR Sébastien;M SIMON Thomas;
U17 Elite;Saison régulière;16/09/2023;12:05;Bordeaux - Mériadeck;72003 - Boxers de Bordeaux U17 Elite / E0161 - ENTENTE FLANDRES 59;;;M ELBAZE Nicolas;;;;M BRUNEAU Gérald
U17 Elite;Saison régulière;16/09/2023;15:00;Saint-Gervais;E0003 - HC74 U17 Elite / 82007 - BRÛLEURS DE LOUPS U17 ELITE;M GERMANEAUD Bastien;M BERGAMELLI Viny;;;;M NEURAZ Steven;
U15;IdF-HdF-Ndie Saison régulière;16/09/2023;16:30;Cergy - Aren'Ice;82024 - POLE FRANCE / 11013 - U15 A CERGY;M GARDIOL Guillaume;M FAFRED Bastien;;;;M BERNOUSSI Rayan;
U15;Zone Sud-est Saison régulière;16/09/2023;17:00;Morzine - Skoda Arena;E0003 - HC 74 2 / 82007 - GRENOBLE 2;;;;;;;
U15;Zone Sud-est Saison régulière;16/09/2023;17:15;Grenoble - Polesud;82007 - GRENOBLE 3 / 82022 - VILLARD DE LANS 2;;;;;;;
Matchs amicaux D2;Matchs amicaux D2;16/09/2023;17:30;Blagnac Toulouse - Jacques Raynaud;91003 - Vipers D2 / 93016 - Les Castors d'Avignon;M GEORGE Yohan;M HASPOT David;;;;M RANDRIANARIVO Dominique;
U17 Elite;Saison régulière;16/09/2023;17:30;Gap - Alp'Arena;93006 - RAPACES DE GAP U17 / 72001 - ANGLET HORMADI U17 ELITE;M GRABIT Alexis;M TCHEKACHEV David;;;;M BERGAMELLI Enzo;
U17 Elite;Saison régulière;16/09/2023;17:35;Caen La Mer;25001 - Caen U17 Elite / E0123 - HCLR U17;M BISPO Romain;M GISSLER Louis;;;;M LEFEVRE Hugo;
U17 Elite;Saison régulière;16/09/2023;17:35;Patinoire André RAVIX;82022 - 82022 LES OURS DE VILLARD DE LANS / E0032 - Entente Alsace U17 Elite;M ROMMEVAUX Mikaël;M BAUDRY Florian;;;;M CREUX-BEAUGIRAUD Yohann;
U17 Elite;Saison régulière;16/09/2023;17:50;Angers IceParc;52007 - ANGERS U17 ELITE / 23001 - Rouen U17;M HERRAULT Romain;M TOCQUEVILLE Florian;;;;M MAUDET Timothée;
Matchs amicaux D3;Matchs amicaux D3;16/09/2023;18:00;Dammarie-les-Lys - La Cartonnerie;11005 - Caribous de Dammarie-lès-lys / 24004 - Orléans Division 3;;;M KOUROUMA Sakoba;;;;M ROCHIER Philippe
U15;Zone Ouest conférence A;16/09/2023;18:00;Anglet - La Barre;72001 - ANGLET HORMADI U15 A / E0078 - TBM U15;;;;;;;
Matchs amicaux D2;Matchs amicaux D2;16/09/2023;18:00;Amnéville - Patinoire Olympique;41004 - Division 2 Amneville / 21005 - REIMS;M GEOFFROY Sébastien;M KIRSCHENBAUM Johan;;;;M KOEGLER Jérémy;
Matchs amicaux D1;Matchs amicaux D1;16/09/2023;18:00;Nantes - Petit Port;52005 - D1 Corsaires de Nantes / 25001 - Caen Division 1;M AURAT Florian;M TRONET Pierre;;;;M SALMON Charles Edouard;
Matchs amicaux D2;Matchs amicaux D2;16/09/2023;18:00;Méribel - Parc Olympique Patinoire;82020 - HCMP Les Bouquetins D2 / 82021 - V.H.G. Valence;M METAIS Jérémy;M BROLIS Frédéric;;;;M BRONDEX Eric;
U17 Elite;Saison régulière;16/09/2023;18:05;Épinal - Poissompré;41002 - EPINAL / E0031 - MHC-ACBB U17 Elite;;;M GIRARD Steeve;;;;M BERGERON Nicolas
Matchs amicaux D2;Matchs amicaux D2;16/09/2023;18:20;Lyon - Charlemagne;82015 - LYON DIVISION 2 / 82022 - VILLARD DE LANS;M PEURIERE Frédéric;M CONSTANTINEAU Nicolas;;;;M HALLADJ Farid;
Matchs amicaux D2;Matchs amicaux D2;16/09/2023;18:20;Evry - François Le Comte (Agora);11025 - 11025 EVH91 Division 2 / 23001 - Rouen Division 2;M LE BERRE Frédéric;M LE MONNIER Julien;;;;Mme PERONNIN Laura;
Matchs amicaux D3;Matchs amicaux D3;16/09/2023;18:30;Chalons-en-Champagne - Cité glace;21002 - Hockey club Châlonnais / 11111 - Luxembourg;;;M BECRET Félicien;;;;M LAPAQUE François
U17 Elite;Saison régulière;16/09/2023;18:30;Viry-Chatillon - Patinoire des Lacs de l'Essonne;11025 - 11025 EVH91 U17 Elite / 11015 - NEUILLY SUR MARNE;;;M MOUILLERON Stéphane;;;;M DEYIRMENDJIAN Thibault
Matchs amicaux D3;Matchs amicaux D3;16/09/2023;18:40;Wasquehal - Serge Charles;31003 - WASQUEHAL / 22002 - HCC Compiègne D3;;;M DUVILLE Guillaume;;;;M MALTAVERNE Christian
Matchs amicaux D2;Matchs amicaux D2;16/09/2023;19:00;Courbevoie - Thierry Monier;11009 - D2 Courbevoie / 11007 - D2 Français Volants;M FESSIER Samuel;M FLEURY Louis;;;;M DEBUCQUET Antoine;
Matchs amicaux D2;Matchs amicaux D2;16/09/2023;19:00;Colmar - Patinoire municipale;E0041 - Titans D2 / 42002 - MULHOUSE;M FROSSARD Philippe;M THORRIGNAC Jason;;;;Mme TORRIBIO ROUSSELIN Sueva;
Matchs amicaux D1;Matchs amicaux D1;16/09/2023;19:30;Dunkerque - Michel Raffoux;31002 - DUNKERQUE DIVISION 1 / 11019 - Comètes de Meudon D1;M GASNIER Mickaël;M SMEECKAERT Aurélien;;;;M DEBUCHE Cyril;
Matchs amicaux D2;Matchs amicaux D2;16/09/2023;19:30;Roanne - Fontalon;82018 - ROANNE D2 / 11111 - JOUX;M ROBERT Florian;M AUMERAS Benjamin;;;;M SALICIO Olivier;
Matchs amicaux D1;Matchs amicaux D1;16/09/2023;19:30;Saint-Gervais;82004S - Éléphants CHAMBERY D1 / 41002 - Division 1 Epinal;M BARCELO Joris;Mme BONIFACE Anne-Sophie;;;;M FONTAINE Gildas;
Matchs amicaux D1;Matchs amicaux D1;16/09/2023;20:00;Brest - Rïnkla Stadium;53001 - Brest Division 1 / 52002 - DOGS DE CHOLET;M BOURREAU Alexandre;M HONORE Romain;;;;M DOUCHY Jérémie;
Matchs amicaux D1;Matchs amicaux D1;16/09/2023;20:00;Tours - Patinoire du centre municipal des sports;24007 - LES REMPARTS DE TOURS Division 1 / 11015 - NEUILLY SUR MARNE DIVISION 1;M TELLIEZ Pascal;M LOOS Mathieu;;;;M CADY Quentin;
U17 Elite;Saison régulière;16/09/2023;20:00;Cergy - Aren'Ice;11013 - U17 élite Cergy Pontoise / 22001 - HCAS U 17;M PERONNIN Stéphane;M PITROU Thomas;;;;M THIBOUVILLE Enguerrand;
Matchs amicaux D1;Matchs amicaux D1;16/09/2023;20:00;Morzine - Skoda Arena;82017 - HCMA D1 / 82028 - Annecy Division 2;M ICARD Damien;M BRIOLAT Eric;;;;M MARGRY Gwilherm;
Matchs amicaux U17;Matchs amicaux U17;16/09/2023;20:00;Patinoire des Courtilles;11003 - ASNIERES U17 EXCELLENCE / E0031 - MHC-ACBB U17 Elite;;;M DEHONT Anthony;;;;M HERBER Philippe
Matchs amicaux D2;Matchs amicaux D2;16/09/2023;20:15;Blagnac Toulouse - Jacques Raynaud;73002 - TOULOUSE BLAGNAC / 74001 - BRIVE;M POPA Adrian;M BARTHE Guillaume;;;;M BRAUD Tao;
U15;Zone Sud-est Saison régulière;16/09/2023;20:30;Chambéry - Patinoire d'Agglomération;E0073 - HC SAVOIE / E0003 - HC 74;;;;;;;
U15;Zone Ouest conférence A;17/09/2023;10:50;Angers IceParc;52007 - ANGERS U15 A / 52002 - CHOLET;;;;;;;
Matchs amicaux D2;Matchs amicaux D2;17/09/2023;11:00;Toulouse - Alex JANY;91003 - Vipers D2 / 74001 - BRIVE;M POPA Adrian;M BARTHE Guillaume;;;;M RANDRIANARIVO Dominique;
U15;Zone Sud-est Saison régulière;17/09/2023;11:15;Gap - Alp'Arena;93006 - GAP / 82028 - ANNECY;;;;;;;
U17 Excellence;Zone ouest conférence A;17/09/2023;11:45;Cholet - Glisséo;52002 - CHOLET / 52007 - ANGERS;;;M HATTON Thomas;;;;M MARCHAND Antoine
U15;Zone Sud-est Saison régulière;17/09/2023;12:00;Clermont-Ferrand;E0123 - HCLR / 82022 - VILLARD DE LANS;;;;;;;
U15;Zone Sud-est Saison régulière;17/09/2023;12:00;Roanne - Fontalon;E0123 - HCLR 3 / E0218 - MARSEILLE - TOULON;;;;;;;
U15;Zone Ouest conférence A;17/09/2023;12:00;Anglet - La Barre;72001 - ANGLET HORMADI U15 A / E0078 - TBM U15;;;;;;;
U20 Elite;Saison régulière;17/09/2023;12:05;Montpellier - Vegapolis;E0078 - Occitanie Elite U20 / E0118 - Entente Alsace Mulhouse Colmar U20 Elite;M GEORGE Yohan;M PRAGOUT Maxime;;;;M DESSOLAIN Franck;
U20 Elite;Saison régulière;17/09/2023;12:15;Dunkerque - Michel Raffoux;E0161 - ENTENTE FLANDRES 59 / E0123 - HCLR U20;M GASNIER Mickaël;M DEBUCHE Cyril;;;;M GERMOND Matteo;
U20 Elite;Saison régulière;17/09/2023;12:20;Nantes - Petit Port;52005 - U20 Eli Corsaires de Nantes / 41002 - U20 Elite Epinal;M TELLIEZ Pascal;M MAUDET Timothée;;;;M TRONET Pierre;
Matchs amicaux D2;Matchs amicaux D2;17/09/2023;13:45;Toulouse - Alex JANY;73002 - TOULOUSE BLAGNAC / 93016 - Les Castors d'Avignon;M GRABIT Alexis;M HASPOT David;;;;M BRAUD Tao;
Synerglace Ligue Magnus;Saison régulière;17/09/2023;16:00;Rouen - Île Lacroix;23001S - 23001S ROUEN HOCKEY ELITE 76 / 72003S - Boxers de Bordeaux;M DEHAEN Pierre;M COLLIN Jérémie;;;M ROHWEDDER Raphaël;M FAUVEL Johan;
U20 Elite;Saison régulière;17/09/2023;16:00;Angers IceParc;52007 - ANGERS U20 ELITE / 72003 - Boxers de Bordeaux U20 Elite;M HERRAULT Romain;M GARCIA LIMA Guido;;;;M VILLARD Vincent;
U20 Elite;Saison régulière;17/09/2023;16:00;Cergy - Aren'Ice;11013 - CERGY-PONTOISE / 72001 - ANGLET HORMADI U20 ELITE;M SALMON Charles Edouard;Mme PERONNIN Laura;;;;M MAILLARD Hugo;
U20 Elite;Saison régulière;17/09/2023;17:45;Gap - Alp'Arena;93006S - GAP / 82022 - 82022 LES OURS DE VILLARD DE LANS U20;M BRIOLAT Eric;M TCHEKACHEV David;;;;M BERGAMELLI Enzo;
U20 Elite;Saison régulière;17/09/2023;18:00;Chamonix - Richard Bozon;E0003 - HC74 U20 Elite / 22001 - HCAS U20;M GONCALVES Clément;M BERGAMELLI Viny;;;;M NEURAZ Steven;
U15;IdF-HdF-Ndie Saison régulière;17/09/2023;18:30;Viry-Chatillon - Patinoire des Lacs de l'Essonne;11025 - EVRY/VIRY / 23001 - ROUEN;;;;;;;
U20 Elite;Saison régulière;17/09/2023;18:45;Strasbourg - Iceberg;42003 - Strasbourg U20 élite / 25001 - Caen U20 Elite;M GEOFFROY Sébastien;M THORRIGNAC Jason;;;;M KIRSCHENBAUM Johan;
Matchs amicaux D1;Matchs amicaux D1;17/09/2023;19:00;Orléans - patinoire municipale;11015 - NEUILLY SUR MARNE DIVISION 1 / 24007 - LES REMPARTS DE TOURS Division 1;M FESSIER Samuel;M CADY Quentin;;;;M LOOS Mathieu;
Matchs amicaux D1;Matchs amicaux D1;17/09/2023;19:00;Le Palais Megève;E0066 - Mont-Blanc les Yetis / 41002 - Division 1 Epinal;M FROSSARD Philippe;M BIOT Thiefen;;;;M AUMERAS Benjamin;
U20 Elite;Saison régulière;17/09/2023;19:00;Grenoble - Polesud;82007S - U20 Bruleurs de Loups Grenoble / 23001S - 23001S ROUEN HOCKEY ELITE 76;M ROBERT Florian;M BAUDRY Florian;;;;M CREUX-BEAUGIRAUD Yohann;
Matchs amicaux D1;Matchs amicaux D1;17/09/2023;19:30;Roanne - Fontalon;82018 - ROANNE D2 / 31004 - D2 Valenciennes;M ROMMEVAUX Mikaël;M FONTAINE Gildas;;;;M SALICIO Olivier;
Matchs amicaux D1;Matchs amicaux D1;19/09/2023;20:00;Tours - Patinoire du centre municipal des sports;24007 - LES REMPARTS DE TOURS Division 1 / 52005 - D1 Corsaires de Nantes;M GASNIER Mickaël;M LOOS Mathieu;;;;M VILLARD Vincent;
Synerglace Ligue Magnus;Saison régulière;19/09/2023;20:00;Briançon - René Froger;93003S - Diables Rouges Briançon 93003 / 23001S - 23001S ROUEN HOCKEY ELITE 76;M BARCELO Geoffrey;M BRIOLAT Eric;;;M BOURREAU Alexandre;M MARGRY Gwilherm;
Synerglace Ligue Magnus;Saison régulière;19/09/2023;20:00;Palais Omnisports Marseille Grand-Est (POMGE);93019S - MARSEILLE HOCKEY CLUB / 11013S - LES JOKERS SLM;M CREGUT Nicolas;M BAUDRY Florian;;;M ERNECQ Adrien;M GONCALVES Clément;
Synerglace Ligue Magnus;Saison régulière;19/09/2023;20:15;Bordeaux - Mériadeck;72003S - Boxers de Bordeaux / 93008S - NICE SLM;M ROHWEDDER Raphaël;M CONSTANTINEAU Nicolas;;;M HAUCHART Alexandre;Mme CHEYROUX Alexia;
Synerglace Ligue Magnus;Saison régulière;19/09/2023;20:15;Grenoble - Polesud;82007S - BRULEURS DE LOUPS MAGNUS SENIORS / E0082 - CHAMONIX SLM;M BLIEK Damien;M ZEDE Vincent;;;M RAULINE Jérémy;M CREUX-BEAUGIRAUD Yohann;
Matchs amicaux D1;Matchs amicaux D1;19/09/2023;20:15;Épinal - Poissompré;41002 - Division 1 Epinal / 41004 - Division 2 Amneville;M GEOFFROY Sébastien;Mme TORRIBIO ROUSSELIN Sueva;;;;M THORRIGNAC Jason;
Synerglace Ligue Magnus;Saison régulière;19/09/2023;20:15;Amiens - Le Coliseum;22001S - AMIENS HOCKEY ELITE / 52007S - 52007S LES DUCS D'ANGERS;M DEHAEN Pierre;M LABOULAIS Maxime;;;M PEYRE Julien;M DOUCHY Jérémie;
Synerglace Ligue Magnus;Saison régulière;19/09/2023;20:30;Gap - Alp'Arena;93006S - RAPACES DE GAP / 72001S - ANGLET HORMADI Ligue MAGNUS;M BARBEZ Nicolas;M UGOLINI Quentin;;;M SCOLARI Benjamin;M BIOT Thiefen;
U17 Elite;Saison régulière;20/09/2023;18:50;Gap - Alp'Arena;93006 - RAPACES DE GAP U17 / 82022 - 82022 LES OURS DE VILLARD DE LANS;M BRIOLAT Eric;M AUMERAS Benjamin;;;;M BERGAMELLI Viny;
U17 Elite;Saison régulière;20/09/2023;19:00;Anglet - La Barre;72001 - ANGLET HORMADI U17 ELITE / 72003 - Boxers de Bordeaux U17 Elite;M GARBAY Laurent;M HASPOT David;;;;M DESSOLAIN Franck;
U17 Elite;Saison régulière;20/09/2023;19:15;Cergy - Aren'Ice;11013 - U17 élite Cergy Pontoise / 11009 - u17 Elite COURBEVOIE;M GARDIOL Guillaume;M LE MONNIER Julien;;;;M PITROU Thomas;
Matchs amicaux D1;Matchs amicaux D1;20/09/2023;19:30;Dunkerque - Michel Raffoux;31002 - DUNKERQUE DIVISION 1 / 25001 - Caen Division 1;M FESSIER Samuel;M SMEECKAERT Aurélien;;;;Mme BOURDON Gaëlle;
U17 Elite;Saison régulière;20/09/2023;19:50;Caen La Mer;25001 - Caen U17 Elite / 22001 - HCAS U 17;M DOUCHY Jérémie;M LEFEVRE Hugo;;;;M GISSLER Louis;
Matchs amicaux D1;Matchs amicaux D1;20/09/2023;20:00;Chambéry - Patinoire d'Agglomération;82004S - Éléphants CHAMBERY D1 / 82017 - HCMA D1;M BARCELO Joris;M DONAT-MAGNIN Alexandre;;;;M ZEDE Vincent;
Matchs amicaux D2;Matchs amicaux D2;20/09/2023;20:30;Roanne - Fontalon;82018 - ROANNE D2 / 82015 - LYON DIVISION 2;M GEORGE Yohan;M THIERCY Damien;;;;M FONTAINE Gildas;
Matchs amicaux D2;Matchs amicaux D2;20/09/2023;21:00;Courchevel - Patinoire du Forum;82020 - HCMP Les Bouquetins D2 / 82028 - Annecy Division 2;M ROBERT Florian;Mme BONIFACE Anne-Sophie;;;;M BAUDRY Florian;
U20 Elite;Saison régulière;21/09/2023;17:50;Nantes - Petit Port;52005 - U20 Eli Corsaires de Nantes / E0161 - ENTENTE FLANDRES 59;M HERRAULT Romain;M MERCIER-LANDRY Pierre;;;;M MAUDET Timothée;
U20 Elite;Saison régulière;21/09/2023;18:20;Bordeaux - Mériadeck;72003 - Boxers de Bordeaux U20 Elite / 72001 - ANGLET HORMADI U20 ELITE;M TELLIEZ Pascal;M BRAUD Tao;;;;M DESSOLAIN Franck;
U20 Elite;Saison régulière;21/09/2023;19:20;Patinoire André RAVIX;82022 - 82022 LES OURS DE VILLARD DE LANS U20 / E0003 - HC74 U20 Elite;M GRABIT Alexis;M BERGAMELLI Enzo;;;;M THIERCY Damien;
U20 Elite;Saison régulière;21/09/2023;19:40;Amiens - Le Coliseum;22001 - HCAS U20 / 52007 - ANGERS U20 ELITE;M SALMON Charles Edouard;M GERMOND Matteo;;;;M FLEURY Louis;
U20 Elite;Saison régulière;21/09/2023;20:30;Épinal - Poissompré;41002 - U20 Elite Epinal / E0118 - Entente Alsace Mulhouse Colmar U20 Elite;M TURBERT Cédric;M THORRIGNAC Jason;;;;M KIRSCHENBAUM Johan;
Matchs amicaux D1;Matchs amicaux D1;22/09/2023;19:00;Meudon-la-Forêt - Patinoire municipale;11019 - Comètes de Meudon D1 / 25001 - Caen Division 1;M GARDIOL Guillaume;M THIBOUVILLE Enguerrand;;;;M CADY Quentin;
Matchs amicaux D1;Matchs amicaux D1;22/09/2023;20:00;Nantes - Petit Port;52005 - D1 Corsaires de Nantes / 24007 - LES REMPARTS DE TOURS Division 1;M HERRAULT Romain;M TRONET Pierre;;;;M HONORE Romain;
Synerglace Ligue Magnus;Saison régulière;22/09/2023;20:00;Nice - Jean Bouin;93008S - NICE SLM / 93019S - MARSEILLE HOCKEY CLUB;M CREGUT Nicolas;M CONSTANTINEAU Nicolas;;;M RAULINE Jérémy;M CREUX-BEAUGIRAUD Yohann;
Synerglace Ligue Magnus;Saison régulière;22/09/2023;20:05;Chamonix - Richard Bozon;E0082 - CHAMONIX SLM / 93006S - RAPACES DE GAP;M BLIEK Damien;Mme CHEYROUX Alexia;;;M BARBEZ Nicolas;M MARGRY Gwilherm;
Matchs amicaux D3;Matchs amicaux D3;22/09/2023;20:15;Mulhouse - Illberg;42002 - MULHOUSE / 26004 - DIJON MHC Division 3;;;M PASIAN Ludovic;;;;M MEUNIER Pascal
Synerglace Ligue Magnus;Saison régulière;22/09/2023;20:15;Briançon - René Froger;93003S - Diables Rouges Briançon 93003 / 22001S - AMIENS HOCKEY ELITE;M ERNECQ Adrien;M ZEDE Vincent;;;M GARBAY Laurent;M BIOT Thiefen;
Matchs amicaux D1;Matchs amicaux D1;22/09/2023;20:30;Strasbourg - Iceberg;42003S - 42003  ETOILE  NOIRE / 41002 - Division 1 Epinal;M TURBERT Cédric;M KIRSCHENBAUM Johan;;;;M THORRIGNAC Jason;
Synerglace Ligue Magnus;Saison régulière;22/09/2023;20:30;Angers IceParc;52007S - 52007S LES DUCS D'ANGERS / 82007S - BRULEURS DE LOUPS MAGNUS SENIORS;M LEVASSEUR Sébastien;M DEBUCHE Cyril;;;M FURET Yann;M SIMON Thomas;
Synerglace Ligue Magnus;Saison régulière;22/09/2023;20:30;Anglet - La Barre;72001S - ANGLET HORMADI Ligue MAGNUS / 72003S - Boxers de Bordeaux;M ROHWEDDER Raphaël;M BARTHE Guillaume;;;M HAUCHART Alexandre;M YSSEMBOURG Joffrey;
Synerglace Ligue Magnus;Saison régulière;22/09/2023;20:30;Rouen - Île Lacroix;23001S - 23001S ROUEN HOCKEY ELITE 76 / 11013S - LES JOKERS SLM;M BARCELO Geoffrey;M DOUCHY Jérémie;;;M SCOLARI Benjamin;M FAUVEL Johan;
U15;Zone Sud-est Saison régulière;23/09/2023;14:30;Grenoble - Polesud;82007 - GRENOBLE / E0123 - HCLR;;;;;;;
U17 Elite;Saison régulière;23/09/2023;15:00;Saint-Gervais;E0003 - HC74 U17 Elite / 52007 - ANGERS U17 ELITE;M GRABIT Alexis;M BERGAMELLI Viny;;;;M NEURAZ Steven;
U17 Elite;Saison régulière;23/09/2023;15:35;Amiens - Le Coliseum;22001 - HCAS U 17 / E0032 - Entente Alsace U17 Elite;M PERONNIN Stéphane;M MAILLARD Hugo;;;;Mme BOURDON Gaëlle;
U17 Elite;Saison régulière;23/09/2023;17:00;Cergy - Aren'Ice;11013 - U17 élite Cergy Pontoise / 93006 - RAPACES DE GAP U17;M DOUCHY Jérémie;M GERMOND Matteo;;;;Mme PERONNIN Laura;
U15;Zone Sud-est Saison régulière;23/09/2023;17:15;Briançon - René Froger;93003 - BRIANCON / 82021 - V.H.G. Valence;;;;;;;
U15;Zone Sud-est Saison régulière;23/09/2023;17:15;Villard-de-Lans - André Ravix;82022 - VILLARD DE LANS 2 / E0196 - VAUJANY GRENOBLE;;;;;;;
U15;Zone Sud-est Saison régulière;23/09/2023;17:30;Avignon - Patinoire municipale;93016 - AVIGNON / E0003 - HC 74 3;;;;;;;
U15;Zone Sud-est Saison régulière;23/09/2023;17:30;Nice - Jean Bouin;93008 - NICE / E0003 - HC 74 2;;;;;;;
U17 Elite;Saison régulière;23/09/2023;17:35;Caen La Mer;25001 - Caen U17 Elite / 72001 - ANGLET HORMADI U17 ELITE;M LE BERRE Frédéric;M LE MONNIER Julien;;;;M GISSLER Louis;
